Site name,Location_ID
"Site 4","{034D16D6-CC0E-49C6-968D-B1ACBCCED35A}"
"Site 8","{16CD6221-4471-4665-9A5B-504C8948E34A}"
"Site 2","{23CC6674-CFCD-4C28-A43F-9DEE885AF11A}"
"Site 6","{2593DA32-C1AF-4C62-B61F-30A426B30AF1}"
"Site 3","{4F970299-ABA7-46B3-ABEA-FD7B4FB59339}"
"Site 7","{5610FCBB-E781-4CB0-82BD-1033499FF0CB}"
"Site 5","{67E9BD52-99A9-479D-B6A2-D898C0CB02E8}"
"Site 1","{7582E039-BB5F-4F5F-8CE2-49083924343D}"
