Event_ID,Location_ID,Event_Group_ID,Protocol_Name,Date,Begin,End,Duration
,"{16CD6221-4471-4665-9A5B-504C8948E34A}",,,"07/14/06 00:00:00",3.9583333333333331e-01,4.0625000000000000e-01,15
,"{16CD6221-4471-4665-9A5B-504C8948E34A}",,,"07/19/06 00:00:00",1.4310000000000000e+03,1.4460000000000000e+03,15
,"{16CD6221-4471-4665-9A5B-504C8948E34A}",,,"07/25/06 00:00:00",1.4330000000000000e+03,1.4540000000000000e+03,21
,"{16CD6221-4471-4665-9A5B-504C8948E34A}",,,"08/02/06 00:00:00",1.5120000000000000e+03,1.5250000000000000e+03,13
,"{16CD6221-4471-4665-9A5B-504C8948E34A}",,,"08/14/06 00:00:00",1.4300000000000000e+03,1.4450000000000000e+03,15
,"{16CD6221-4471-4665-9A5B-504C8948E34A}",,,"08/21/06 00:00:00",1.4120000000000000e+03,1.4370000000000000e+03,25
,"{16CD6221-4471-4665-9A5B-504C8948E34A}",,,"08/28/06 00:00:00",1.1450000000000000e+03,1.2100000000000000e+03,65
,"{16CD6221-4471-4665-9A5B-504C8948E34A}",,,"09/06/06 00:00:00",1.1280000000000000e+03,1.1490000000000000e+03,21
,"{16CD6221-4471-4665-9A5B-504C8948E34A}",,,"09/13/06 00:00:00",1.4060000000000000e+03,1.4230000000000000e+03,17
,"{16CD6221-4471-4665-9A5B-504C8948E34A}",,,"09/20/06 00:00:00",1.4230000000000000e+03,1.4500000000000000e+03,27
