ID,Field 1,Common,4-letter,Field4,Field5,Field6,Field7
128,,"Sharp-tailed Grouse","STGR",,"Tympanuchus phasianellus","TYMPHA",
129,,"Greater Prairie-Chicken","GRPC",,"Tympanuchus cupido","TYMCUP",
130,,"Lesser Prairie-Chicken","LEPC",,"Tympanuchus pallidicinctus","TYMPAL",
131,,"Wild Turkey","WITU",,"Meleagris gallopavo","MELGAL",
132,,"Ocellated Turkey","OCTU",,"Meleagris ocellata","MELOCE",
133,,"Helmeted Guineafowl","HELG","*","Numida meleagris","NUMMEL",
134,,"Bearded Wood-Partridge","BEWP",,"Dendrortyx barbatus","DENBAR",
135,,"Long-tailed Wood-Partridge","LTWP",,"Dendrortyx macroura","DENMAC",
136,,"Buffy-crowned Wood-Partridge","BCWP",,"Dendrortyx leucophrys","DENLEU",
137,,"Mountain Quail","MOUQ","*","Oreortyx pictus","OREPIC",
138,,"Scaled Quail","SCQU",,"Callipepla squamata","CALSQU",
139,,"Elegant Quail","ELQU",,"Callipepla douglasii","CALDOU",
140,,"California Quail","CAQU",,"Callipepla californica","CALCAL",
141,,"Gambel's Quail","GAQU",,"Callipepla gambelii","CALGAM",
142,,"Banded Quail","BAQU",,"Philortyx fasciatus","PHIFAS",
143,,"Northern Bobwhite","NOBO",,"Colinus virginianus","COLVIR",
144,,"Black-throated Bobwhite","BTBO",,"Colinus nigrogularis","COLNIG",
145,,"Crested Bobwhite","CRBO",,"Colinus cristatus","COLCRI",
146,,"Marbled Wood-Quail","MAWQ",,"Odontophorus gujanensis","ODOGUJ",
147,,"Black-eared Wood-Quail","BEWQ",,"Odontophorus melanotis","ODOMEL",
148,,"Tacarcuna Wood-Quail","TAWQ",,"Odontophorus dialeucos","ODODIA",
149,,"Black-breasted Wood-Quail","BBWQ",,"Odontophorus leucolaemus","ODOLEU",
150,,"Spotted Wood-Quail","SPQU",,"Odontophorus guttatus","ODOGUT",
151,,"Singing Quail","SIQU",,"Dactylortyx thoracicus","DACTHO",
152,,"Montezuma Quail","MONQ","*","Cyrtonyx montezumae","CYRMON",
153,,"Ocellated Quail","OCQU",,"Cyrtonyx ocellatus","CYROCE",
154,,"Tawny-faced Quail","TFQU",,"Rhynchortyx cinctus","RHYCIN",
155,,"Red-throated Loon","RTLO",,"Gavia stellata","GAVSTE",
156,,"Arctic Loon","ARLO",,"Gavia arctica","GAVARC",
157,,"Pacific Loon","PALO",,"Gavia pacifica","GAVPAC",
158,,"Common Loon","COLO",,"Gavia immer","GAVIMM",
159,,"Yellow-billed Loon","YBLO",,"Gavia adamsii","GAVADA",
160,,"Least Grebe","LEGR",,"Tachybaptus dominicus","TACDOM",
161,,"Pied-billed Grebe","PBGR",,"Podilymbus podiceps","PODPOD",
162,,"Atitlan Grebe","ATGR",,"Podilymbus gigas","PODGIG",
163,,"Horned Grebe","HOGR",,"Podiceps auritus","PODAUR",
164,,"Red-necked Grebe","RNGR",,"Podiceps grisegena","PODGRI",
165,,"Eared Grebe","EAGR",,"Podiceps nigricollis","PODNIG",
166,,"Western Grebe","WEGR",,"Aechmophorus occidentalis","AECOCC",
167,,"Clark's Grebe","CLGR",,"Aechmophorus clarkii","AECCLA",
168,,"Yellow-nosed Albatross","YNAL",,"Thalassarche chlororhynchos","THACHL",
169,,"Shy Albatross","SHAL",,"Thalassarche cauta","THACAU",
170,,"Black-browed Albatross","BBAL",,"Thalassarche melanophris","THAMEL",
171,,"Light-mantled Albatross","LMAL",,"Phoebetria palpebrata","PHOPAL",
172,,"Wandering Albatross","WAAL",,"Diomedea exulans","DIOEXU",
173,,"Laysan Albatross","LAAL",,"Phoebastria immutabilis","PHOIMM",
174,"+","Laysan X Black-foot. Albatross Hybrid","LBFH",,"Phoebastria immut. X nigripes","PHOIMN",
175,,"Black-footed Albatross","BFAL",,"Phoebastria nigripes","PHONIG",
176,,"Short-tailed Albatross","STAL",,"Phoebastria albatrus","PHOALB",
177,,"Northern Fulmar","NOFU",,"Fulmarus glacialis","FULGLA",
178,,"Great-winged Petrel","GWPE",,"Pterodroma macroptera","PTEMAC",
179,,"Kermadec Petrel","KEPE",,"Pterodroma neglecta","PTENEG",
180,,"Herald Petrel","HEPE",,"Pterodroma arminjoniana","PTEARM",
181,,"Murphy's Petrel","MUPE",,"Pterodroma ultima","PTEULT",
182,,"Mottled Petrel","MOPE",,"Pterodroma inexpectata","PTEINE",
183,,"Bermuda Petrel","BEPE",,"Pterodroma cahow","PTECAH",
184,,"Black-capped Petrel","BCPE",,"Pterodroma hasitata","PTEHAS",
185,,"Juan Fernandez Petrel","JFPE",,"Pterodroma externa","PTEEXT",
186,,"Galapagos Petrel","GAPE",,"Pterodroma phaeopygia","PTEPHA",
187,,"Hawaiian Petrel","HAPE",,"Pterodroma sandwichensis","PTESAN",
188,,"White-necked Petrel","WNPE",,"Pterodroma cervicalis","PTECER",
189,,"Bonin Petrel","BOPE",,"Pterodroma hypoleuca","PTEHYP",
190,,"Black-winged Petrel","BWPE",,"Pterodroma nigripennis","PTENIG",
191,,"Cook's Petrel","COOP","*","Pterodroma cookii","PTECOO",
192,,"Stejneger's Petrel","STPE",,"Pterodroma longirostris","PTELON",
193,,"Bulwer's Petrel","BUPE",,"Bulweria bulwerii","BULBUL",
194,,"Jouanin's Petrel","JOPE",,"Bulweria fallax","BULFAL",
195,,"Parkinson's Petrel","PAPE",,"Procellaria parkinsoni","PROPAR",
196,,"Streaked Shearwater","STRS","*","Calonectris leucomelas","CALLEU",
197,,"Cory's Shearwater","COSH",,"Calonectris diomedea","CALDIO",
198,,"Cape Verde Shearwater","CVSH",,"Calonectris edwardsii","CALEDW",
199,,"Pink-footed Shearwater","PFSH",,"Puffinus creatopus","PUFCRE",
200,,"Flesh-footed Shearwater","FFSH",,"Puffinus carneipes","PUFCAR",
201,,"Greater Shearwater","GRSH",,"Puffinus gravis","PUFGRA",
202,,"Wedge-tailed Shearwater","WTSH",,"Puffinus pacificus","PUFPAC",
203,,"Buller's Shearwater","BULS","*","Puffinus bulleri","PUFBUL",
204,,"Sooty Shearwater","SOSH",,"Puffinus griseus","PUFGRI",
205,,"Short-tailed Shearwater","SRTS","**","Puffinus tenuirostris","PUFTEN",
206,,"Christmas Shearwater","CHSH",,"Puffinus nativitatis","PUFNAT",
207,,"Manx Shearwater","MASH",,"Puffinus puffinus","PUFPUF",
208,,"Townsend's Shearwater","TOSH",,"Puffinus auricularis","PUFAUR",
209,"+","Newell's Shearwater","NESH",,"Puffinus a. newelli","PUFANE",
210,,"Black-vented Shearwater","BVSH",,"Puffinus opisthomelas","PUFOPI",
211,,"Audubon's Shearwater","AUSH",,"Puffinus lherminieri","PUFLHE",
212,,"Little Shearwater","LISH",,"Puffinus assimilis","PUFASS",
213,,"Wilson's Storm-Petrel","WISP",,"Oceanites oceanicus","OCEOCE",
214,,"White-faced Storm-Petrel","WFSP",,"Pelagodroma marina","PELMAR",
215,,"European Storm-Petrel","EUSP",,"Hydrobates pelagicus","HYDPEL",
216,,"Black-bellied Storm-Petrel","BBSP",,"Fregetta tropica","FRETRO",
217,,"Fork-tailed Storm-Petrel","FTSP",,"Oceanodroma furcata","OCEFUR",
218,,"Leach's Storm-Petrel","LESP",,"Oceanodroma leucorhoa","OCELEU",
219,,"Ashy Storm-Petrel","ASSP",,"Oceanodroma homochroa","OCEHOM",
220,,"Band-rumped Storm-Petrel","BSTP","**","Oceanodroma castro","OCECAS",
221,,"Wedge-rumped Storm-Petrel","WRSP",,"Oceanodroma tethys","OCETET",
222,,"Black Storm-Petrel","BLSP",,"Oceanodroma melania","OCEMEL",
223,,"Guadalupe Storm-Petrel","GUSP",,"Oceanodroma macrodactyla","OCEMAC",
224,,"Markham's Storm-Petrel","MASP",,"Oceanodroma markhami","OCEMAR",
225,,"Tristram's Storm-Petrel","TRSP",,"Oceanodroma tristrami","OCETRI",
226,,"Least Storm-Petrel","LSTP","*","Oceanodroma microsoma","OCEMIC",
227,,"White-tailed Tropicbird","WTTR",,"Phaethon lepturus","PHALEP",
228,,"Red-billed Tropicbird","RBTR",,"Phaethon aethereus","PHAAET",
229,,"Red-tailed Tropicbird","RTTR",,"Phaethon rubricauda","PHARUB",
230,,"Masked Booby","MABO",,"Sula dactylatra","SULDAC",
231,,"Nazca Booby","NABO",,"Sula granti","SULGRA",
232,,"Blue-footed Booby","BFBO",,"Sula nebouxii","SULNEB",
233,,"Peruvian Booby","PEBO",,"Sula variegata","SULVAR",
234,,"Brown Booby","BRBO",,"Sula leucogaster","SULLEU",
235,,"Red-footed Booby","RFBO",,"Sula sula","SULSUL",
236,,"Northern Gannet","NOGA",,"Morus bassanus","MORBAS",
237,,"American White Pelican","AWPE",,"Pelecanus erythrorhynchos","PELERY",
238,,"Brown Pelican","BRPE",,"Pelecanus occidentalis","PELOCC",
239,,"Brandt's Cormorant","BRAC","*","Phalacrocorax penicillatus","PHAPEN",
240,,"Neotropic Cormorant","NECO",,"Phalacrocorax brasilianus","PHABRA",
241,,"Double-crested Cormorant","DCCO",,"Phalacrocorax auritus","PHAAUT","*"
242,,"Great Cormorant","GRCO",,"Phalacrocorax carbo","PHACAR",
243,,"Red-faced Cormorant","RFCO",,"Phalacrocorax urile","PHAURI",
244,,"Pelagic Cormorant","PECO",,"Phalacrocorax pelagicus","PHAPEL",
245,,"Anhinga","ANHI",,"Anhinga anhinga","ANHANH",
246,,"Magnificent Frigatebird","MAFR",,"Fregata magnificens","FREMAG",
247,,"Great Frigatebird","GFRI","**","Fregata minor","FREMIN",
248,,"Lesser Frigatebird","LEFR",,"Fregata ariel","FREARI",
249,,"Pinnated Bittern","PIBI",,"Botaurus pinnatus","BOTPIN",
250,,"American Bittern","AMBI",,"Botaurus lentiginosus","BOTLEN",
251,,"Yellow Bittern","YEBI",,"Ixobrychus sinensis","IXOSIN",
252,,"Least Bittern","LEBI",,"Ixobrychus exilis","IXOEXI",
253,,"Rufescent Tiger-Heron","RTHE",,"Tigrisoma lineatum","TIGLIN",
254,,"Fasciated Tiger-Heron","FTHE",,"Tigrisoma fasciatum","TIGFAS",
255,,"Bare-throated Tiger-Heron","BTTH",,"Tigrisoma mexicanum","TIGMEX",
256,,"Great Blue Heron","GBHE",,"Ardea herodias","ARDHER",
257,"+","Great White Heron","GWHE",,"Ardea h. occidentalis","ARDHOC",
258,,"Gray Heron","GRAH","*","Ardea cinerea","ARDCIN",
259,,"Cocoi Heron","COHE",,"Ardea cocoi","ARDCOC",
260,,"Great Egret","GREG",,"Ardea alba","ARDALB",
261,,"Chinese Egret","CHEG",,"Egretta eulophotes","EGREUL",
262,,"Little Egret","LIEG",,"Egretta garzetta","EGRGAR",
263,,"Western Reef-Heron","WERH",,"Egretta gularis","EGRGUL",
264,,"Snowy Egret","SNEG",,"Egretta thula","EGRTHU",
265,,"Little Blue Heron","LBHE",,"Egretta caerulea","EGRCAE",
266,,"Tricolored Heron","TRHE",,"Egretta tricolor","EGRTRI",
267,,"Reddish Egret","REEG",,"Egretta rufescens","EGRRUF",
268,,"Cattle Egret","CAEG",,"Bubulcus ibis","BUBIBI",
269,,"Chinese Pond-Heron","CHPH",,"Ardeola bacchus","ARDBAC",
270,,"Green Heron","GRHE",,"Butorides virescens","BUTVIR",
271,,"Striated Heron","STRH","*","Butorides striata","BUTSTR",
272,,"Agami Heron","AGHE",,"Agamia agami","AGAAGA",
273,,"Capped Heron","CAHE",,"Pilherodius pileatus","PILPIL",
274,,"Black-crowned Night-Heron","BCNH",,"Nycticorax nycticorax","NYCNYC",
275,,"Yellow-crowned Night-Heron","YCNH",,"Nyctanassa violacea","NYCVIO",
276,,"Boat-billed Heron","BBHE",,"Cochlearius cochlearius","COCCOH","*"
277,,"White Ibis","WHIB",,"Eudocimus albus","EUDALB",
278,,"Scarlet Ibis","SCIB",,"Eudocimus ruber","EUDRUB",
279,,"Glossy Ibis","GLIB",,"Plegadis falcinellus","PLEFAL",
280,,"White-faced Ibis","WFIB",,"Plegadis chihi","PLECHI",
281,,"Green Ibis","GRIB",,"Mesembrinibis cayennensis","MESCAY",
282,,"Buff-necked Ibis","BNIB",,"Theristicus caudatus","THECAU",
283,,"Roseate Spoonbill","ROSP",,"Platalea ajaja","PLAAJA",
284,,"Jabiru","JABI",,"Jabiru mycteria","JABMYC",
285,,"Wood Stork","WOST",,"Mycteria americana","MYCAME",
286,,"Black Vulture","BLVU",,"Coragyps atratus","CORATR",
287,,"Turkey Vulture","TUVU",,"Cathartes aura","CATAUA","*"
288,,"Lesser Yellow-headed Vulture","LYHV",,"Cathartes burrovianus","CATBUR",
289,,"California Condor","CACO",,"Gymnogyps californianus","GYMCAL",
290,,"King Vulture","KIVU",,"Sarcoramphus papa","SARPAP",
291,,"Greater Flamingo","GFLA","**","Phoenicopterus ruber","PHORUB",
292,,"Osprey","OSPR",,"Pandion haliaetus","PANHAL",
293,,"Gray-headed Kite","GHKI",,"Leptodon cayanensis","LEPCAY",
294,,"Hook-billed Kite","HBKI",,"Chondrohierax uncinatus","CHOUNC",
295,,"Swallow-tailed Kite","STKI",,"Elanoides forficatus","ELAFOR",
296,,"Pearl Kite","PEKI",,"Gampsonyx swainsonii","GAMSWA",
297,,"White-tailed Kite","WTKI",,"Elanus leucurus","ELALEU",
298,,"Snail Kite","SNKI",,"Rostrhamus sociabilis","ROSSOC",
299,,"Slender-billed Kite","SBKI",,"Rostrhamus hamatus","ROSHAM",
300,,"Double-toothed Kite","DTKI",,"Harpagus bidentatus","HARBID",
301,,"Mississippi Kite","MIKI",,"Ictinia mississippiensis","ICTMIS",
302,,"Plumbeous Kite","PLKI",,"Ictinia plumbea","ICTPLU",
303,,"Black Kite","BLAK","*","Milvus migrans","MILMIG",
304,,"Bald Eagle","BAEA",,"Haliaeetus leucocephalus","HALLEU",
305,,"White-tailed Eagle","WTEA",,"Haliaeetus albicilla","HALALB",
306,,"Steller's Sea-Eagle","STSE",,"Haliaeetus pelagicus","HALPEL",
307,,"Black-collared Hawk","BCHA",,"Busarellus nigricollis","BUSNIG",
308,,"Northern Harrier","NOHA",,"Circus cyaneus","CIRCYA",
309,,"Western Marsh Harrier","WMHA",,"Circus aeruginosus","CIRAER",
310,,"Gray Frog-Hawk","GRFH",,"Accipiter soloensis","ACCSOL",
311,,"Tiny Hawk","TIHA",,"Accipiter superciliosus","ACCSUP",
312,,"Sharp-shinned Hawk","SSHA",,"Accipiter striatus","ACCSTR",
313,,"Cooper's Hawk","COHA",,"Accipiter cooperii","ACCCOO",
314,,"Gundlach's Hawk","GUHA",,"Accipiter gundlachi","ACCGUN",
315,,"Bicolored Hawk","BIHA",,"Accipiter bicolor","ACCBIC",
316,,"Northern Goshawk","NOGO",,"Accipiter gentilis","ACCGEN",
317,"+","Unidentified Accipiter Hawk","UAHA",,"Accipiter (sp)","ACCSPE",
318,,"Crane Hawk","CRHA",,"Geranospiza caerulescens","GERCAE",
319,,"Plumbeous Hawk","PLHA",,"Leucopternis plumbeus","LEUPLU",
320,,"Barred Hawk","BAHA",,"Leucopternis princeps","LEUPRI",
321,,"Semiplumbeous Hawk","SEHA",,"Leucopternis semiplumbeus","LEUSEL","*"
322,,"White Hawk","WHHA",,"Leucopternis albicollis","LEUALB",
323,,"Common Black-Hawk","COBH",,"Buteogallus anthracinus","BUTANT",
324,,"Mangrove Black-Hawk","MABH",,"Buteogallus subtilis","BUTSUB",
325,,"Great Black-Hawk","GRBH",,"Buteogallus urubitinga","BUTURU",
326,,"Savanna Hawk","SAHA",,"Buteogallus meridionalis","BUTMER",
327,,"Harris's Hawk","HASH","**","Parabuteo unicinctus","PARUNI",
328,,"Solitary Eagle","SOEA",,"Harpyhaliaetus solitarius","HARSOL",
329,,"Roadside Hawk","ROHA",,"Buteo magnirostris","BUTMAG",
330,,"Red-shouldered Hawk","RSHA",,"Buteo lineatus","BUTLIN",
331,,"Ridgway's Hawk","RIHA",,"Buteo ridgwayi","BUTRID",
332,,"Broad-winged Hawk","BWHA",,"Buteo platypterus","BUTPLA",
333,,"Gray Hawk","GRHA",,"Buteo nitida","BUTNIT",
334,,"Short-tailed Hawk","STHA",,"Buteo brachyurus","BUTBRA",
335,,"Swainson's Hawk","SWHA",,"Buteo swainsoni","BUTSWA",
336,,"White-tailed Hawk","WTHA",,"Buteo albicaudatus","BUTALC","*"
337,,"Zone-tailed Hawk","ZTHA",,"Buteo albonotatus","BUTALN","*"
338,,"Hawaiian Hawk","HAWH","*","Buteo solitarius","BUTSOL",
339,,"Red-tailed Hawk","RTHA",,"Buteo jamaicensis","BUTJAM",
340,"+","Harlan's Hawk","HALH","**","Buteo j. harlani","BUTJHA",
341,,"Ferruginous Hawk","FEHA",,"Buteo regalis","BUTREG",
342,,"Rough-legged Hawk","RLHA",,"Buteo lagopus","BUTLAG",
343,,"Crested Eagle","CREA",,"Morphnus guianensis","MORGUI",
344,,"Harpy Eagle","HAEA",,"Harpia harpyja","HARHAR",
345,,"Golden Eagle","GOEA",,"Aquila chrysaetos","AQUCHR",
346,,"Black-and-white Hawk-Eagle","BAWH",,"Spizastur melanoleucus","SPIMEL",
347,,"Black Hawk-Eagle","BLHE",,"Spizaetus tyrannus","SPITYR",
348,,"Ornate Hawk-Eagle","ORHE",,"Spizaetus ornatus","SPIORN",
349,"+","Unidentified Hawk","UNHA",,"Accipitridae (gen, sp)","ACCGSP",
350,,"Barred Forest-Falcon","BAFF",,"Micrastur ruficollis","MICRUF",
351,,"Slaty-backed Forest-Falcon","SBFF",,"Micrastur mirandollei","MICMIR",
352,,"Collared Forest-Falcon","COFF",,"Micrastur semitorquatus","MICSEM",
353,,"Red-throated Caracara","RTCA",,"Ibycter americanus","IBYAME",
354,,"Crested Caracara","CRCA",,"Caracara cheriway","CARCHE",
355,,"Guadalupe Caracara","GUCA",,"Caracara lutosa","CARLUT",
356,,"Yellow-headed Caracara","YHCA",,"Milvago chimachima","MILCHI",
357,,"Laughing Falcon","LAFA",,"Herpetotheres cachinnans","HERCAC",
358,,"Eurasian Kestrel","EUKE",,"Falco tinnunculus","FALTIN",
359,,"American Kestrel","AMKE",,"Falco sparverius","FALSPA",
360,,"Merlin","MERL",,"Falco columbarius","FALCOL",
