Code,Description
0,"None"
1,"Fog"
2,"Drizzle"
3,"Showers (intermittent rain)"
4,"Light rain"
5,"Moderate (steady) rain"
6,"Heavy rain"
7,"Sleet"
8,"Light snow"
9,"Moderate snow"
10,"Heavy snow"
