Code,Wind_Speed,Description
0,"Less than 1","Air calm; smoke rises vertically."
1,"1 to 3","Direction of wind shown by smoke drift but not by wind vanes."
2,"4 to 7","Wind felt on face; leaves rustle; wind vanes moved by wind."
3,"8 to 12","Leaves and small twigs in constant motion; wind extends light flag."
4,"13 to 18","Raises dust, loose paper; small branches are moved."
5,"19 to 24","Small trees in leaf begin to sway; crested wavelets form on inland waters."
