Common_Name,Code
"Bulwer's Petrel","BUPE"
"Jouanin's Petrel","JOPE"
"Parkinson's Petrel","PAPE"
"Streaked Shearwater","STRS"
"Cory's Shearwater","COSH"
"Cape Verde Shearwater","CVSH"
"Pink-footed Shearwater","PFSH"
"Flesh-footed Shearwater","FFSH"
"Greater Shearwater","GRSH"
"Wedge-tailed Shearwater","WTSH"
"Buller's Shearwater","BULS"
"Sooty Shearwater","SOSH"
"Short-tailed Shearwater","SRTS"
"Christmas Shearwater","CHSH"
"Manx Shearwater","MASH"
"Townsend's Shearwater","TOSH"
"Newell's Shearwater","NESH"
"Black-vented Shearwater","BVSH"
"Audubon's Shearwater","AUSH"
"Little Shearwater","LISH"
"Wilson's Storm-Petrel","WISP"
"White-faced Storm-Petrel","WFSP"
"European Storm-Petrel","EUSP"
"Black-bellied Storm-Petrel","BBSP"
"Fork-tailed Storm-Petrel","FTSP"
"Leach's Storm-Petrel","LESP"
"Ashy Storm-Petrel","ASSP"
"Band-rumped Storm-Petrel","BSTP"
"Wedge-rumped Storm-Petrel","WRSP"
"Black Storm-Petrel","BLSP"
"Guadalupe Storm-Petrel","GUSP"
"Markham's Storm-Petrel","MASP"
"Tristram's Storm-Petrel","TRSP"
"Least Storm-Petrel","LSTP"
"White-tailed Tropicbird","WTTR"
"Red-billed Tropicbird","RBTR"
"Red-tailed Tropicbird","RTTR"
"Masked Booby","MABO"
"Nazca Booby","NABO"
"Blue-footed Booby","BFBO"
"Peruvian Booby","PEBO"
"Brown Booby","BRBO"
"Red-footed Booby","RFBO"
"Northern Gannet","NOGA"
"American White Pelican","AWPE"
"Brown Pelican","BRPE"
"Brandt's Cormorant","BRAC"
"Neotropic Cormorant","NECO"
"Double-crested Cormorant","DCCO"
"Great Cormorant","GRCO"
"Red-faced Cormorant","RFCO"
"Pelagic Cormorant","PECO"
"Anhinga","ANHI"
"Magnificent Frigatebird","MAFR"
"Great Frigatebird","GFRI"
"Lesser Frigatebird","LEFR"
"Pinnated Bittern","PIBI"
"American Bittern","AMBI"
"Yellow Bittern","YEBI"
"Least Bittern","LEBI"
"Rufescent Tiger-Heron","RTHE"
"Fasciated Tiger-Heron","FTHE"
"Bare-throated Tiger-Heron","BTTH"
"Great Blue Heron","GBHE"
"Great White Heron","GWHE"
"Gray Heron","GRAH"
"Cocoi Heron","COHE"
"Great Egret","GREG"
"Chinese Egret","CHEG"
"Little Egret","LIEG"
"Western Reef-Heron","WERH"
"Snowy Egret","SNEG"
"Little Blue Heron","LBHE"
"Tricolored Heron","TRHE"
"Reddish Egret","REEG"
"Cattle Egret","CAEG"
"Chinese Pond-Heron","CHPH"
"Green Heron","GRHE"
"Striated Heron","STRH"
"Agami Heron","AGHE"
"Capped Heron","CAHE"
"Black-crowned Night-Heron","BCNH"
"Yellow-crowned Night-Heron","YCNH"
"Boat-billed Heron","BBHE"
"White Ibis","WHIB"
"Scarlet Ibis","SCIB"
"Glossy Ibis","GLIB"
"White-faced Ibis","WFIB"
