Common_Name,Code
"Violet Sabrewing","VISA"
"White-necked Jacobin","WNJA"
"Brown Violet-ear","BRVE"
"Green Violet-ear","GRVE"
"Green-breasted Mango","GNBM"
"Black-throated Mango","BTMA"
"Veraguan Mango","VEMA"
"Antillean Mango","ANMA"
"Green Mango","GMAG"
"Jamaican Mango","JAMA"
"Purple-throated Carib","PTCA"
"Green-throated Carib","GTCA"
"Ruby-topaz Hummingbird","RTOH"
"Antillean Crested Hummingbird","ANCH"
"Violet-headed Hummingbird","VHHU"
"Emerald-chinned Hummingbird","ECHU"
"Short-crested Coquette","SCCO"
"Rufous-crested Coquette","RCRC"
"Black-crested Coquette","BCCO"
"White-crested Coquette","WCCO"
"Green Thorntail","GRET"
"Golden-crowned Emerald","GCEM"
"Cozumel Emerald","COEM"
"Canivet's Emerald","CAEM"
"Garden Emerald","GAEM"
"Cuban Emerald","CUEM"
"Brace's Emerald","BREM"
"Hispaniolan Emerald","HIEM"
"Puerto Rican Emerald","PREM"
"Dusky Hummingbird","DUHU"
"Broad-billed Hummingbird","BBIH"
"Blue-headed Hummingbird","BHHU"
"Mexican Woodnymph","MEWO"
"Violet-crowned Woodnymph","VCWO"
"Green-crowned Woodnymph","GNCW"
"Fiery-throated Hummingbird","FTHU"
"Violet-bellied Hummingbird","VBHU"
"Sapphire-throated Hummingbird","SHTH"
"Humboldt's Sapphire","HUSA"
"Blue-throated Goldentail","BTRG"
"White-eared Hummingbird","WEHU"
"Xantus's Hummingbird","XAHU"
"Violet-capped Hummingbird","VCAH"
"Rufous-cheeked Hummingbird","RCHU"
"Streamertail","STRM"
"White-bellied Emerald","WBEM"
"Honduran Emerald","HOEM"
"Blue-chested Hummingbird","BCHH"
"Charming Hummingbird","CHHU"
"Mangrove Hummingbird","MANH"
"Azure-crowned Hummingbird","AZCH"
"Berylline Hummingbird","BEHU"
"Blue-tailed Hummingbird","BLTH"
"Steely-vented Hummingbird","SVHU"
"Snowy-bellied Hummingbird","SBEH"
"Rufous-tailed Hummingbird","RTAH"
"Buff-bellied Hummingbird","BBEH"
"Cinnamon Hummingbird","CIHU"
"Violet-crowned Hummingbird","VCHU"
"Green-fronted Hummingbird","GFHU"
"Stripe-tailed Hummingbird","STLH"
"Blue-capped Hummingbird","BCAH"
"White-tailed Hummingbird","WTAH"
"Black-bellied Hummingbird","BLBH"
"White-tailed Emerald","WTEM"
"Coppery-headed Emerald","CHEM"
"Snowcap","SNOC"
"White-vented Plumeleteer","WVPL"
"Bronze-tailed Plumeleteer","BTPL"
"Green-throated Mountain-gem","GTMG"
"Green-breasted Mountain-gem","GBMG"
"Amethyst-throated Hummingbird","ATHU"
"Blue-throated Hummingbird","BTHH"
"White-bellied Mountain-gem","WBMG"
"Purple-throated Mountain-gem","PTMG"
"White-throated Mountain-gem","WTMG"
"Garnet-throated Hummingbird","GATH"
"Green-crowned Brilliant","GCBR"
"Magnificent Hummingbird","MAHU"
"Greenish Puffleg","GRPU"
"Purple-crowned Fairy","PCFA"
"Long-billed Starthroat","LBST"
"Plain-capped Starthroat","PCST"
"Bahama Woodstar","BAWO"
"Magenta-throated Woodstar","MTWO"
"Purple-throated Woodstar","PTWO"
"Slender Sheartail","SLSH"
"Mexican Sheartail","MESH"
"Sparkling-tailed Hummingbird","SPTH"
"Lucifer Hummingbird","LUHU"
"Beautiful Hummingbird","BEAH"
"Ruby-throated Hummingbird","RTHU"
"Black-chinned Hummingbird","BCHU"
"Vervain Hummingbird","VEHU"
"Bee Hummingbird","BEEH"
"Anna's Hummingbird","ANHU"
"Costa's Hummingbird","COHU"
"Calliope Hummingbird","CAHU"
"Bumblebee Hummingbird","BUHU"
"Wine-throated Hummingbird","WTHH"
"Broad-tailed Hummingbird","BTAH"
"Rufous Hummingbird","RUHU"
"Allen's Hummingbird","ALHU"
"Volcano Hummingbird","VOHU"
"Glow-throated Hummingbird","GLTH"
"Scintillant Hummingbird","SCHU"
"Unidentified Selasphorus Hummingbird","USHU"
"Unidentified Hummingbird","UNHU"
"Cuban Trogon","CUTR"
"Hispaniolan Trogon","HITR"
"Black-headed Trogon","BHTR"
"Citreoline Trogon","CITR"
"White-tailed Trogon","WTAT"
"Baird's Trogon","BATR"
"Violaceous Trogon","VITR"
"Mountain Trogon","MOTR"
"Elegant Trogon","ELTR"
"Collared Trogon","COTR"
"Orange-bellied Trogon","OBTR"
"Black-throated Trogon","BTHT"
"Black-tailed Trogon","BTAT"
"Slaty-tailed Trogon","STTR"
"Lattice-tailed Trogon","LTTR"
"Eared Quetzal","EAQU"
"Golden-headed Quetzal","GHQU"
"Resplendent Quetzal","REQU"
"Eurasian Hoopoe","EHOO"
"Cuban Tody","CUTO"
"Broad-billed Tody","BBTO"
"Narrow-billed Tody","NBTO"
"Jamaican Tody","JATO"
"Puerto Rican Tody","PRTO"
"Tody Motmot","TOMO"
"Blue-throated Motmot","BTMO"
"Russet-crowned Motmot","RCMO"
"Blue-crowned Motmot","BCMO"
"Rufous Motmot","RMOT"
"Keel-billed Motmot","KBMO"
"Broad-billed Motmot","BBMO"
"Turquoise-browed Motmot","TBMO"
"Ringed Kingfisher","RIKI"
"Belted Kingfisher","BEKI"
"Amazon Kingfisher","AMKI"
"Green Kingfisher","GKIN"
"Green-and-rufous Kingfisher","GARK"
"American Pygmy Kingfisher","APKI"
"Barred Puffbird","BAPU"
"White-necked Puffbird","WNPU"
"Black-breasted Puffbird","BBPU"
"Pied Puffbird","PIPU"
"White-whiskered Puffbird","WWPU"
"Lanceolated Monklet","LAMO"
"Gray-cheeked Nunlet","GCNU"
"White-fronted Nunbird","WFNU"
"Dusky-backed Jacamar","DBJA"
"Rufous-tailed Jacamar","RTJA"
"Great Jacamar","GJAC"
"Spot-crowned Barbet","SCBA"
"Red-headed Barbet","RHBA"
"Prong-billed Barbet","PBBA"
"Emerald Toucanet","EMTO"
"Collared Aracari","COAR"
"Fiery-billed Aracari","FBAR"
"Yellow-eared Toucanet","YETO"
"Keel-billed Toucan","KBTO"
"Chestnut-mandibled Toucan","CMTO"
"Eurasian Wryneck","EUWR"
"Olivaceous Piculet","OLPI"
"Antillean Piculet","ANPI"
"Lewis's Woodpecker","LEWO"
"Guadeloupe Woodpecker","GUWO"
"Puerto Rican Woodpecker","PRWO"
"Red-headed Woodpecker","RHWO"
"Acorn Woodpecker","ACWO"
"Golden-naped Woodpecker","GNWO"
"Black-cheeked Woodpecker","BCWO"
"Hispaniolan Woodpecker","HIWO"
"Jamaican Woodpecker","JAWO"
"Golden-cheeked Woodpecker","GCHW"
"Gray-breasted Woodpecker","GBWO"
"Yucatan Woodpecker","YUWO"
"Red-crowned Woodpecker","RCRW"
"Gila Woodpecker","GIWO"
"Hoffmann's Woodpecker","HOWO"
"Golden-fronted Woodpecker","GFWO"
"Red-bellied Woodpecker","RBWO"
"West Indian Woodpecker","WIWO"
"Williamson's Sapsucker","WISA"
"Yellow-bellied Sapsucker","YBSA"
"Red-naped Sapsucker","RNSA"
"Red-naped X Red-breasted Saps. Hybrid","RRSH"
"Red-breasted Sapsucker","RBSA"
"Unidentified Sapsucker","UNSA"
"Cuban Green Woodpecker","CGWO"
"Great Spotted Woodpecker","GSWO"
"Ladder-backed Woodpecker","LBWO"
"Nuttall's Woodpecker","NUWO"
"Downy Woodpecker","DOWO"
"Hairy Woodpecker","HAWO"
"Arizona Woodpecker","ARWO"
"Strickland's Woodpecker","STCW"
"Red-cockaded Woodpecker","RCWO"
"White-headed Woodpecker","WHWO"
"American Three-toed Woodpecker","ATTW"
"Black-backed Woodpecker","BBWO"
"Smoky-brown Woodpecker","SMBW"
"Red-rumped Woodpecker","RRWO"
"Rufous-winged Woodpecker","RWWO"
"Stripe-cheeked Woodpecker","SCHW"
"Golden-green Woodpecker","GGWO"
"Golden-olive Woodpecker","GOWO"
"Gray-crowned Woodpecker","GYCW"
"Spot-breasted Woodpecker","SBWP"
"Northern Flicker","NOFL"
"Yellow-shafted Flicker","YSFL"
"Northern Flicker Intergrade","NFIN"
"Red-shafted Flicker","RSFL"
"Gilded Flicker","GIFL"
"Fernandina's Flicker","FEFL"
"Cinnamon Woodpecker","CIWO"
"Chestnut-colored Woodpecker","CCOW"
"Lineated Woodpecker","LIWO"
"Pileated Woodpecker","PIWO"
"Crimson-bellied Woodpecker","CBWO"
"Crimson-crested Woodpecker","CCRW"
"Pale-billed Woodpecker","PBIW"
"Ivory-billed Woodpecker","IBWO"
"Imperial Woodpecker","IMWO"
"Unidentified Woodpecker","UNWO"
"Pale-breasted Spinetail","PBSP"
"Slaty Spinetail","SLSP"
"Rufous-breasted Spinetail","RBRS"
"Red-faced Spinetail","RFSP"
"Rusty-backed Spinetail","RBAS"
"Double-banded Graytail","DBGR"
"Spotted Barbtail","SPBA"
"Beautiful Treerunner","BETR"
"Ruddy Treerunner","RUTR"
"Buffy Tuftedcheek","BUTU"
"Striped Woodhaunter","STPW"
"Lineated Foliage-gleaner","LIFG"
"Scaly-throated Foliage-gleaner","STFG"
"Slaty-winged Foliage-gleaner","SWFG"
"Buff-fronted Foliage-gleaner","BFFG"
"Buff-throated Foliage-gleaner","BTFG"
"Ruddy Foliage-gleaner","RUFG"
"Streak-breasted Treehunter","SBTR"
"Plain Xenops","PLXE"
"Streaked Xenops","STXE"
"Tawny-throated Leaftosser","TTLE"
"Gray-throated Leaftosser","GTLE"
"Scaly-throated Leaftosser","STLE"
"Sharp-tailed Streamcreeper","STST"
"Plain-brown Woodcreeper","PBRW"
"Tawny-winged Woodcreeper","TWWO"
"Ruddy Woodcreeper","RUWO"
"Olivaceous Woodcreeper","OLWO"
"Long-tailed Woodcreeper","LTWO"
"Wedge-billed Woodcreeper","WBWO"
"Strong-billed Woodcreeper","SNBW"
"Northern Barred-Woodcreeper","NOBW"
"Black-banded Woodcreeper","BBNW"
"Straight-billed Woodcreeper","SGBW"
"Cocoa Woodcreeper","COWO"
"Ivory-billed Woodcreeper","IBIW"
"Black-striped Woodcreeper","BSWO"
"Spotted Woodcreeper","SPWO"
"White-striped Woodcreeper","WSWO"
"Streak-headed Woodcreeper","SHWO"
"Spot-crowned Woodcreeper","SCRW"
"Red-billed Scythebill","RBSC"
"Brown-billed Scythebill","BBSC"
"Fasciated Antshrike","FAAN"
"Great Antshrike","GANT"
"Barred Antshrike","BAAN"
"Black Antshrike","BLAN"
"Black-hooded Antshrike","BHOA"
"Western Slaty-Antshrike","WSLA"
"Spiny-faced Antshrike","SFAN"
"Russet Antshrike","RUAN"
"Plain Antvireo","PLAN"
"Streak-crowned Antvireo","STCA"
"Spot-crowned Antvireo","SPCA"
"Moustached Antwren","MOAN"
"Pacific Antwren","PAAN"
"Checker-throated Antwren","CTAN"
"White-flanked Antwren","WFLA"
"Slaty Antwren","SLAN"
"Rufous-winged Antwren","RWAN"
"Dot-winged Antwren","DWAN"
"White-fringed Antwren","WFRA"
"Rufous-rumped Antwren","RRAN"
"Dusky Antbird","DUAN"
"Jet Antbird","JEAN"
"Bare-crowned Antbird","BACA"
"White-bellied Antbird","WBEA"
"Chestnut-backed Antbird","CBAN"
"Dull-mantled Antbird","DMAN"
"Immaculate Antbird","IMAN"
"Spotted Antbird","SPAN"
"Wing-banded Antbird","WBAA"
"Bicolored Antbird","BIAN"
"Ocellated Antbird","OCAN"
"Black-faced Antthrush","BFAN"
"Black-headed Antthrush","BHEA"
"Rufous-breasted Antthrush","RBAN"
"Black-crowned Antpitta","BCNA"
"Scaled Antpitta","SCAA"
"Streak-chested Antpitta","SCHA"
"Thicket Antpitta","THAN"
"Ochre-breasted Antpitta","OBAN"
"Tacarcuna Tapaculo","TATA"
"Choco Tapaculo","CHOT"
"Silvery-fronted Tapaculo","SFTA"
"Yellow-bellied Tyrannulet","YBTY"
"Brown-capped Tyrannulet","BCTY"
"Northern Beardless-Tyrannulet","NOBT"
"Southern Beardless-Tyrannulet","SOBT"
"Mouse-colored Tyrannulet","MCTY"
"Cocos Flycatcher","COCF"
"Yellow Tyrannulet","YETY"
"Yellow-crowned Tyrannulet","YCTY"
"Forest Elaenia","FOEL"
"Gray Elaenia","GRAE"
"Jamaican Elaenia","JAEL"
"Greenish Elaenia","GREL"
"Caribbean Elaenia","CAEL"
"Yellow-bellied Elaenia","YBEL"
"Lesser Elaenia","LEEL"
"Mountain Elaenia","MOEL"
"Greater Antillean Elaenia","GAEL"
"Torrent Tyrannulet","TOTY"
"Olive-striped Flycatcher","OSTF"
"Ochre-bellied Flycatcher","OBFL"
"Sepia-capped Flycatcher","SECF"
"Slaty-capped Flycatcher","SLCF"
"Yellow-green Tyrannulet","YGTY"
"Rufous-browed Tyrannulet","RBTY"
"Rough-legged Tyrannulet","RLTY"
"Sooty-headed Tyrannulet","SHTY"
"Paltry Tyrannulet","PATY"
"Northern Scrub-Flycatcher","NOSF"
"Bronze-olive Pygmy-Tyrant","BOPT"
"Black-capped Pygmy-Tyrant","BPYT"
"Scale-crested Pygmy-Tyrant","SCPT"
"Pale-eyed Pygmy-Tyrant","PEPT"
"Northern Bentbill","NOBE"
"Southern Bentbill","SOBE"
"Slate-headed Tody-Flycatcher","SHTF"
"Common Tody-Flycatcher","COTF"
"Black-headed Tody-Flycatcher","BHTF"
"Brownish Flycatcher","BRFL"
"Eye-ringed Flatbill","ERFL"
"Olivaceous Flatbill","OLFL"
"Yellow-olive Flycatcher","YOFL"
"Yellow-margined Flycatcher","YMFL"
"Stub-tailed Spadebill","STTS"
"White-throated Spadebill","WTRS"
"Golden-crowned Spadebill","GCRS"
"Royal Flycatcher","ROFL"
"Ruddy-tailed Flycatcher","RDTF"
"Tawny-breasted Flycatcher","TBFL"
"Sulphur-rumped Flycatcher","SRFL"
"Black-tailed Flycatcher","BTFL"
"Bran-colored Flycatcher","BCOF"
"Euler's Flycatcher","EUFL"
"Tawny-chested Flycatcher","TCFL"
"Black-billed Flycatcher","BLBF"
"Belted Flycatcher","BEFL"
"Pileated Flycatcher","PILF"
"Tufted Flycatcher","TUFL"
"Olive-sided Flycatcher","OSFL"
"Greater Pewee","GRPE"
"Dark Pewee","DAPE"
"Ochraceous Pewee","OCPE"
"Western Wood-Pewee","WEWP"
"Eastern Wood-Pewee","EAWP"
"Tropical Pewee","TRPE"
"Cuban Pewee","CUPE"
"Jamaican Pewee","JAPE"
"Hispaniolan Pewee","HIPE"
"Lesser Antillean Pewee","LAPE"
"Yellow-bellied Flycatcher","YBFL"
"Acadian Flycatcher","ACFL"
"Alder Flycatcher","ALFL"
"Traill's Flycatcher","TRFL"
"Willow Flycatcher","WIFL"
"Southwestern Willow Flycatcher","SWFL"
"White-throated Flycatcher","WTFL"
"Least Flycatcher","LEFL"
"Hammond's Flycatcher","HAFL"
"Hammond's/Dusky Flycatcher","HDFL"
"Gray Flycatcher","GRFL"
"Dusky Flycatcher","DUFL"
"Pine Flycatcher","PINF"
"Pacific-slope Flycatcher","PSFL"
"Western Flycatcher","WEFL"
"Cordilleran Flycatcher","COFL"
"Yellowish Flycatcher","YEFL"
"Buff-breasted Flycatcher","BBFL"
"Black-capped Flycatcher","BCAF"
"Unidentified Empidonax Flycatcher","UEFL"
"Black Phoebe","BLPH"
"Eastern Phoebe","EAPH"
"Say's Phoebe","SAPH"
"Vermilion Flycatcher","VEFL"
"Pied Water-Tyrant","PIWT"
"Long-tailed Tyrant","LTTY"
"Cattle Tyrant","CATY"
"Bright-rumped Attila","BRAT"
"Sirystes","SIRY"
"Rufous Mourner","RMOU"
"Yucatan Flycatcher","YUFL"
"Sad Flycatcher","SAFL"
"Dusky-capped Flycatcher","DCFL"
"Panama Flycatcher","PAFL"
"Ash-throated Flycatcher","ATFL"
"Nutting's Flycatcher","NUFL"
"Great Crested Flycatcher","GCFL"
"Brown-crested Flycatcher","BCFL"
"Grenada Flycatcher","GFLY"
"Rufous-tailed Flycatcher","RFTF"
"La Sagra's Flycatcher","LSFL"
"Stolid Flycatcher","STOF"
"Puerto Rican Flycatcher","PRFL"
"Lesser Antillean Flycatcher","LAFL"
"Flammulated Flycatcher","FLFL"
"Lesser Kiskadee","LEKI"
"Great Kiskadee","GKIS"
"Boat-billed Flycatcher","BOBF"
"Rusty-margined Flycatcher","RMFL"
"Social Flycatcher","SOFL"
"Gray-capped Flycatcher","GCAF"
"White-ringed Flycatcher","WRFL"
"Golden-bellied Flycatcher","GBFL"
"Golden-crowned Flycatcher","GOCF"
"Streaked Flycatcher","STRF"
"Sulphur-bellied Flycatcher","SBFL"
"Piratic Flycatcher","PIFL"
"Variegated Flycatcher","VAFL"
"Tropical Kingbird","TRKI"
"Couch's Kingbird","COKI"
"Cassin's Kingbird","CAKI"
"Thick-billed Kingbird","TBKI"
"Western Kingbird","WEKI"
"Eastern Kingbird","EAKI"
"Gray Kingbird","GRAK"
"Loggerhead Kingbird","LOKI"
"Giant Kingbird","GIKI"
"Scissor-tailed Flycatcher","STFL"
"Fork-tailed Flycatcher","FTFL"
"Unidentified Flycatcher","UNFL"
"Sapayoa","SAPA"
"Thrush-like Schiffornis","TLSC"
"Gray-headed Piprites","GHPI"
"Rufous Piha","RUFP"
"Speckled Mourner","SPMO"
"Barred Becard","BABE"
"Cinereous Becard","CIRB"
"Cinnamon Becard","CIMB"
"White-winged Becard","WWBE"
"Black-and-white Becard","BAWB"
"Gray-collared Becard","GCBE"
"Rose-throated Becard","RTBE"
"One-colored Becard","OCBE"
"Jamaican Becard","JABE"
"Masked Tityra","MATI"
"Black-crowned Tityra","BCRT"
"Lovely Cotinga","LOCO"
"Turquoise Cotinga","TUCO"
"Blue Cotinga","BLCO"
"Black-tipped Cotinga","BTCO"
"Yellow-billed Cotinga","YBCO"
"Snowy Cotinga","SNCO"
"Purple-throated Fruitcrow","PTFR"
"Bare-necked Umbrellabird","BNUM"
"Three-wattled Bellbird","TWBE"
"Green Manakin","GMAK"
"White-collared Manakin","WCOM"
"Orange-collared Manakin","OCMA"
"Golden-collared Manakin","GCMA"
"White-ruffed Manakin","WRMA"
"Lance-tailed Manakin","LATM"
"Long-tailed Manakin","LOTM"
"White-crowned Manakin","WCRM"
"Blue-crowned Manakin","BCRM"
"Golden-headed Manakin","GHMA"
"Red-capped Manakin","RCMA"
"Sharpbill","SHAR"
"Kauai Oo","KAOO"
"Oahu Oo","OAOO"
"Bishop's Oo","BIOO"
"Hawaii Oo","HAOO"
"Kioea","KIOE"
"Brown Shrike","BRSH"
"Loggerhead Shrike","LOSH"
"Northern Shrike","NSHR"
"Slaty Vireo","SLVI"
"White-eyed Vireo","WEVI"
"Thick-billed Vireo","TBVI"
"Mangrove Vireo","MAVI"
"Cozumel Vireo","COVI"
"St. Andrew Vireo","SAVI"
"Jamaican Vireo","JAVI"
"Cuban Vireo","CUVI"
"Puerto Rican Vireo","PRVI"
"Flat-billed Vireo","FBVI"
"Bell's Vireo","BEVI"
"Least Bell's Vireo","LBVI"
"Black-capped Vireo","BCVI"
"Dwarf Vireo","DWVI"
"Gray Vireo","GRVI"
"Blue Mountain Vireo","BMVI"
"Yellow-throated Vireo","YTVI"
"Plumbeous Vireo","PLVI"
"Solitary Vireo","SOVI"
"Cassin's Vireo","CAVI"
"Blue-headed Vireo","BHVI"
"Yellow-winged Vireo","YWVI"
"Hutton's Vireo","HUVI"
"Golden Vireo","GOVI"
"Warbling Vireo","WAVI"
"Brown-capped Vireo","BCAV"
"Philadelphia Vireo","PHVI"
"Red-eyed Vireo","REVI"
"Yellow-green Vireo","YGVI"
"Black-whiskered Vireo","BWVI"
"Yucatan Vireo","YUVI"
"Scrub Greenlet","SCRG"
"Tawny-crowned Greenlet","TCGR"
"Golden-fronted Greenlet","GFGR"
"Lesser Greenlet","LESG"
"Chestnut-sided Shrike-Vireo","CSSV"
"Green Shrike-Vireo","GRSV"
"Yellow-browed Shrike-Vireo","YBSV"
"Rufous-browed Peppershrike","RBPE"
"Gray Jay","GRAJ"
"Steller's Jay","STJA"
"Blue Jay","BLJA"
"Black-throated Magpie-Jay","BTMJ"
"White-throated Magpie-Jay","WTMJ"
"Tufted Jay","TUJA"
"Black-chested Jay","BCHJ"
"Green Jay","GREJ"
"Brown Jay","BRJA"
"Bushy-crested Jay","BCRJ"
"San Blas Jay","SBJA"
"Yucatan Jay","YUJA"
"Purplish-backed Jay","PBJA"
"Azure-hooded Jay","AHJA"
"Black-throated Jay","BTJA"
"Dwarf Jay","DWJA"
"Silvery-throated Jay","STHJ"
"White-throated Jay","WTJA"
"Florida Scrub-Jay","FLSJ"
"Island Scrub-Jay","ISSJ"
"Western Scrub-Jay","WESJ"
"Mexican Jay","MEJA"
"Unicolored Jay","UNJA"
"Pinyon Jay","PIJA"
"Clark's Nutcracker","CLNU"
"Black-billed Magpie","BBMA"
"Yellow-billed Magpie","YBMA"
"Eurasian Jackdaw","EUJA"
"American Crow","AMCR"
"Northwestern Crow","NOCR"
"Palm Crow","PACR"
"Cuban Crow","CUCR"
"White-necked Crow","WNCR"
"Jamaican Crow","JACR"
"Tamaulipas Crow","TACR"
"Sinaloa Crow","SICR"
"Fish Crow","FICR"
"Hawaiian Crow","HCRO"
"Unidentified Crow","UNCR"
"Chihuahuan Raven","CHRA"
"Common Raven","CORA"
"Elepaio","ELEP"
"Sky Lark","SKLA"
"Horned Lark","HOLA"
"Purple Martin","PUMA"
"Cuban Martin","CUMA"
"Caribbean Martin","CAMA"
"Sinaloa Martin","SIMA"
"Gray-breasted Martin","GYBM"
"Southern Martin","SOMA"
"Brown-chested Martin","BCMA"
"Tree Swallow","TRES"
"Mangrove Swallow","MANS"
"Golden Swallow","GOSW"
"Violet-green Swallow","VGSW"
"Bahama Swallow","BAHS"
"Blue-and-white Swallow","BAWS"
"Black-capped Swallow","BCSW"
"White-thighed Swallow","WTGS"
"Northern Rough-winged Swallow","NRWS"
"Southern Rough-winged Swallow","SRWS"
"Bank Swallow","BANS"
"Cliff Swallow","CLSW"
"Cave Swallow","CASW"
"Barn Swallow","BARS"
"Common House-Martin","COHM"
"Unidentified Swallow","UNSW"
"Carolina Chickadee","CACH"
"Carolina X Black-c. Chickadee Hybrid","CBCC"
"Black-capped Chickadee","BCCH"
"Mountain Chickadee","MOCH"
"Mexican Chickadee","MECH"
"Chestnut-backed Chickadee","CBCH"
"Boreal Chickadee","BOCH"
"Gray-headed Chickadee","GHCH"
"Unidentified Poecile Chickadee","UPCH"
"Bridled Titmouse","BRTI"
"Oak Titmouse","OATI"
"Juniper Titmouse","JUTI"
"Tufted Titmouse","TUTI"
"Black-crested Titmouse","BCTI"
"Verdin","VERD"
"Bushtit","BUSH"
"Red-breasted Nuthatch","RBNU"
"White-breasted Nuthatch","WBNU"
"Pygmy Nuthatch","PYNU"
"Brown-headed Nuthatch","BHNU"
"Brown Creeper","BRCR"
"Black-capped Donacobius","BCDO"
"White-headed Wren","WHWR"
"Band-backed Wren","BABW"
"Gray-barred Wren","GBWR"
"Giant Wren","GIWR"
"Rufous-naped Wren","RNAW"
"Spotted Wren","SPWR"
"Boucard's Wren","BOWR"
"Yucatan Wren","YUWR"
"Cactus Wren","CACW"
"Rock Wren","ROWR"
"Canyon Wren","CANW"
"Sumichrast's Wren","SUWR"
"Nava's Wren","NAWR"
"Sooty-headed Wren","SHWR"
"Black-throated Wren","BTWR"
"Black-bellied Wren","BBEW"
"Bay Wren","BAYW"
"Riverside Wren","RIWR"
"Stripe-throated Wren","STWR"
"Stripe-breasted Wren","SIBW"
"Rufous-breasted Wren","RBSW"
"Spot-breasted Wren","SBSW"
"Rufous-and-white Wren","RAWW"
"Sinaloa Wren","SIWR"
"Banded Wren","BANW"
"Carolina Wren","CARW"
"Happy Wren","HAWR"
"Buff-breasted Wren","BBRW"
"Plain Wren","PLWR"
"Bewick's Wren","BEWR"
"Zapata Wren","ZAWR"
"House Wren","HOWR"
"Southern House-Wren","SOHW"
"Socorro Wren","SOCW"
"Clarion Wren","CLWR"
"Rufous-browed Wren","RBWW"
"Ochraceous Wren","OCWR"
"Winter Wren","WIWR"
"Sedge Wren","SEWR"
"Marsh Wren","MAWR"
"White-bellied Wren","WBWR"
"Timberline Wren","TIWR"
"White-breasted Wood-Wren","WBWW"
"Gray-breasted Wood-Wren","GBWW"
"Nightingale Wren","NIWR"
"Scaly-breasted Wren","SCBW"
"Song Wren","SONW"
"Unidentified Wren","UNWR"
"American Dipper","AMDI"
"Red-vented Bulbul","RVBU"
"Red-whiskered Bulbul","RWBU"
"Golden-crowned Kinglet","GCKI"
"Ruby-crowned Kinglet","RCKI"
"Japanese Bush-Warbler","JABW"
"Middendorff's Grasshopper-Warbler","MIGW"
"Lanceolated Warbler","LANW"
"Millerbird","MILL"
"Willow Warbler","WILW"
"Wood Warbler","WOWA"
"Dusky Warbler","DUWA"
"Yellow-browed Warbler","YBWA"
"Arctic Warbler","ARWA"
"Lesser Whitethroat","LEWH"
"Tawny-faced Gnatwren","TFGN"
"Long-billed Gnatwren","LBGN"
"Blue-gray Gnatcatcher","BGGN"
"Cuban Gnatcatcher","CUGN"
"California Gnatcatcher","CAGN"
"Black-tailed Gnatcatcher","BTGN"
"Black-capped Gnatcatcher","BCGN"
"White-lored Gnatcatcher","WLGN"
"Tropical Gnatcatcher","TRGN"
"Slate-throated Gnatcatcher","STGN"
"Narcissus Flycatcher","NAFL"
"Mugimaki Flycatcher","MUFL"
"Taiga Flycatcher","TAFL"
"Dark-sided Flycatcher","DSFL"
"Gray-streaked Flycatcher","GSFL"
"Asian Brown Flycatcher","ABFL"
"Spotted Flycatcher","SPFL"
"Siberian Rubythroat","SIRU"
"Bluethroat","BLUE"
"Siberian Blue Robin","SBRO"
"Red-flanked Bluetail","RFBL"
"White-rumped Shama","WRSH"
"Northern Wheatear","NOWH"
"Stonechat","STON"
"Eastern Bluebird","EABL"
"Western Bluebird","WEBL"
"Western X Mountain Bluebird Hybrid","WMBH"
"Mountain Bluebird","MOBL"
"Townsend's Solitaire","TOSO"
"Brown-backed Solitaire","BBSO"
"Cuban Solitaire","CUSO"
"Rufous-throated Solitaire","RTSO"
"Black-faced Solitaire","BFSO"
"Varied Solitaire","VASO"
"Slate-colored Solitaire","SCSO"
"Kamao","KAMA"
"Amaui","AMAU"
"Olomao","OLOM"
"Omao","OMAO"
"Puaiohi","PUAI"
"Black-billed Nightingale-Thrush","BBNT"
"Orange-billed Nightingale-Thrush","OBNT"
"Slaty-backed Nightingale-Thrush","SBNT"
"Russet Nightingale-Thrush","RUNT"
"Ruddy-capped Nightingale-Thrush","RCNT"
"Black-headed Nightingale-Thrush","BHNT"
"Spotted Nightingale-Thrush","SPNT"
"Veery","VEER"
"Gray-cheeked Thrush","GCTH"
"Gray-cheeked/Bicknell's Thrush","GCBT"
"Bicknell's Thrush","BITH"
"Swainson's Thrush","SWTH"
"Hermit Thrush","HETH"
"Wood Thrush","WOTH"
"Unidentified Thrush","UNTH"
"Eurasian Blackbird","EUBL"
"Eyebrowed Thrush","EYTH"
"Dusky Thrush","DUTH"
"Fieldfare","FIEL"
"Redwing","REDW"
"Sooty Robin","SORO"
"Black Robin","BLRO"
"Mountain Robin","MORO"
"Cocoa Thrush","COCT"
"Pale-vented Thrush","PVTH"
"Clay-colored Robin","CCRO"
"Bare-eyed Robin","BERO"
"White-eyed Thrush","WETH"
"White-throated Robin","WTRO"
"Rufous-backed Robin","RBRO"
"Rufous-collared Robin","RCRO"
"American Robin","AMRO"
"La Selle Thrush","LSTH"
"White-chinned Thrush","WCTH"
"Grand Cayman Thrush","GCAT"
"Red-legged Thrush","RLTH"
"Forest Thrush","FOTH"
"Varied Thrush","VATH"
"Aztec Thrush","AZTH"
"Greater Necklaced Laughingthrush","GNLA"
"Hwamei","HWAM"
"Red-billed Leiothrix","RBLE"
"Wrentit","WREN"
"Japanese White-eye","JAWE"
"Gray Catbird","GRCA"
