Code,Description
0,"Calm, sea surface smooth and mirror-like."
1,"0.1 m, scaly ripples, no foam crests."
2,"0.1-0.5 m, small wavelets, crests glassy, no breaking."
3,"0.5-1.0 m, large wavelets, crests beging to break, scattered whitecaps."
4,"1.0-1.5 m, small waves, becoming longer, numerous whitecaps."
5,"1.5-2.0 m, moderate waves, taking longer form, many whitecaps, some spray."
