Event_ID,Contact_ID,Contact_Role
"{8D4945C2-61A8-4E00-9FCF-3B7631E74CC2}","20080710124324-533424019.813538",
"{52769FDC-A485-4ED2-844A-51C5E9DF5C03}","20080710124324-533424019.813538",
"{24448019-EE03-47EA-926C-98FE18B55D80}","20080710124324-533424019.813538",
"{4BF0CC12-909A-4A45-9540-86EBF4A067DA}","20080710124324-533424019.813538",
"{0457150E-DE94-4FA5-A665-A08E4D6B2A77}","20080710124324-533424019.813538",
"{FBA61503-005B-4DB5-9B36-5D56FF54DD76}","20080710124324-533424019.813538",
"{4C7B15C5-CF53-4487-84B5-983EFF485CEC}","20080710124324-533424019.813538",
"{C2EFD76F-8876-4DCC-A176-4059ADED051E}","20080710124324-533424019.813538",
"{C16298AA-F739-4268-8E51-2FCEA6921650}","20080710124324-533424019.813538",
"{08E9F00F-E79D-43B6-9AE6-C6080F5151F3}","20080710124324-533424019.813538",
"{63C5AEF4-8FAF-402C-988C-2F18FA05DB30}","20080710124324-533424019.813538",
"{111848A9-8B9B-4D07-840F-67EB9377246A}","20080710124324-533424019.813538",
"{75FFF80E-ADC8-4D17-B074-C8DB821374CC}","20080710124324-533424019.813538",
"{D9E3B408-D6C0-491F-B048-3D80777DF4A4}","20080710124324-533424019.813538",
"20080723123813-984046041.965485","20070512161715-705547511.577606",
"20080723123812-14221131.8016052","20070512161715-705547511.577606",
"20080723123813-580878436.565399","20070512161715-705547511.577606",
"{E1350D1F-B28E-4D1B-B6B6-BAD3E428B05D}","20080710124324-533424019.813538",
"{3BD2A86B-1FAB-4BE7-8AEE-9B1139F30243}","20080710124324-533424019.813538",
"{48A0DCE9-FFB2-4321-93E9-EAA79A20EB80}","20080710124324-533424019.813538",
"{96C29620-D400-4243-A040-143BA5410189}","20080710124324-533424019.813538",
"{11DD65D3-2D12-4B7B-B578-109B7EC88D68}","20080710124324-533424019.813538",
"{4C103901-BB45-45BF-BDB3-6806B5833440}","20080710124324-533424019.813538",
"{D59C73E1-1E2E-43B3-A11A-45DCA1EB09CA}","20080710124324-533424019.813538",
"20080723123130-724558770.656586","20070512161715-705547511.577606",
"{ECD97FB3-92AF-4632-8025-D8FF907A7645}","20080710124324-533424019.813538",
"{188BFEC4-C8FA-428E-BC67-AAF761058FFE}","20080710124324-533424019.813538",
"{2868F316-9614-4AC5-A772-080E0711A0A7}","20080710124324-533424019.813538",
"{173470F3-ADC3-4312-85B2-8EA1244F2F74}","20080710124324-533424019.813538",
"{0F05EA54-796F-4DFB-ADC2-146260C9E852}","20080710124324-533424019.813538",
